priority_rank,task_id,priority_score,sprint,sprint_rank,event_id,title,claim_id,claim_theme,thesis_role,claim_decision,readiness_tier,area,subarea,task_focus,why_this_paper,claim_question,minimum_decision_needed,what_to_extract,support_signal,weakening_signal,blocking_risk,required_manual_fields,source_artifacts,writeback_targets,next_action
56,C08-64121,312,sprint_01,12,64121,Reinforcement Learning via Self-Distillation,C08,Validation priority,workflow_claim,context_or_workflow_only,workflow_claim_unreviewed,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",workflow_validation,votes=718; github_stars=1008; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,none,"Benchmark / evaluation: Large language models are increasingly post-trained with reinforcement learning in verifiable domains such as code and math. ; Tags: RL / policy optimization; LLM post-training; Reasoning / test-time compute; Agents / tool use; Diffusion / flow; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning; tool. ; benchmarks: LiveCodeBench; metrics: accuracy; reward; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether high attention supports the center-of-gravity claim. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper exposes a taxonomy, claim, or evidence ambiguity that validates the need for manual review gates.",Weakens workflow confidence if the paper is easy to classify and does not touch any high-risk boundary or claim ambiguity.,Keep as a process/workflow claim; acceptance means the validation workflow remains explicit and auditable.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/64121-reinforcement-learning-via-self-distillation.md ; reports/claim_validation_packets/c08-validation-priority.md ; reports/claim_evidence_dossiers/c08-validation-priority.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C08::64121,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
57,C08-61870,315,sprint_01,15,61870,mHC: Manifold-Constrained Hyper-Connections,C08,Validation priority,workflow_claim,context_or_workflow_only,workflow_claim_unreviewed,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",workflow_validation,votes=696; github_stars=367; taxonomy_review; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,none,"System / infrastructure: To address these challenges, we propose Manifold-Constrained Hyper-Connections (mHC), a general framework that projects the residual connection space of HC onto a specific manifold to restore the identity mapping property, while incorporating rigorous infrastructure optimization to ensure efficiency. ; Tags: Graphs / geometry; setting: language/llm; abstract cues: no obvious abstract keyword cue. ; metrics: memory; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper exposes a taxonomy, claim, or evidence ambiguity that validates the need for manual review gates.",Weakens workflow confidence if the paper is easy to classify and does not touch any high-risk boundary or claim ambiguity.,Keep as a process/workflow claim; acceptance means the validation workflow remains explicit and auditable.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/61870-mhc-manifold-constrained-hyper-connections.md ; reports/claim_validation_packets/c08-validation-priority.md ; reports/claim_evidence_dossiers/c08-validation-priority.md ; reports/area_briefing_cards/systems-and-efficient-foundation-models.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C08::61870,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
58,C08-65888,317,sprint_01,17,65888,Learning to Discover at Test Time,C08,Validation priority,workflow_claim,context_or_workflow_only,workflow_claim_unreviewed,"Agents, Code, and Tool Use","Multi-agent search, planning, and coordination",workflow_validation,votes=529; github_stars=297; taxonomy_review; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,none,"System / infrastructure: All our results are achieved with an open model, OpenAI gpt-oss-120b, and can be reproduced with our publicly available code, in contrast to previous best results that required closed frontier models. ; Tags: RL / policy optimization; Reasoning / test-time compute; Agents / tool use; Diffusion / flow; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning. ; identify baselines, datasets, metrics, ablations, and negative cases from the PDF ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper exposes a taxonomy, claim, or evidence ambiguity that validates the need for manual review gates.",Weakens workflow confidence if the paper is easy to classify and does not touch any high-risk boundary or claim ambiguity.,Keep as a process/workflow claim; acceptance means the validation workflow remains explicit and auditable.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65888-learning-to-discover-at-test-time.md ; reports/claim_validation_packets/c08-validation-priority.md ; reports/claim_evidence_dossiers/c08-validation-priority.md ; reports/area_briefing_cards/agents-code-and-tool-use.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C08::65888,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
59,C08-61180,321,sprint_01,21,61180,Latent Collaboration in Multi-Agent Systems,C08,Validation priority,workflow_claim,context_or_workflow_only,workflow_claim_unreviewed,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,workflow_validation,votes=402; github_stars=1048; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,none,"Benchmark / evaluation: We introduce LatentMAS, an end-to-end training-free framework that enables pure latent collaboration among LLM agents. ; Tags: Reasoning / test-time compute; Agents / tool use; setting: math/code/verifiable; language/llm; theory/synthetic; abstract cues: benchmark; agent. ; metrics: accuracy; memory ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether high attention supports the center-of-gravity claim. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper exposes a taxonomy, claim, or evidence ambiguity that validates the need for manual review gates.",Weakens workflow confidence if the paper is easy to classify and does not touch any high-risk boundary or claim ambiguity.,Keep as a process/workflow claim; acceptance means the validation workflow remains explicit and auditable.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/61180-latent-collaboration-in-multi-agent-systems.md ; reports/claim_validation_packets/c08-validation-priority.md ; reports/claim_evidence_dossiers/c08-validation-priority.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C08::61180,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
60,C05-60542,1101,sprint_02,1,60542,Motion Attribution for Video Generation,C05,Neighboring-venue contrast,supporting_hypothesis,not_ready,directional_unreviewed,"Multimodal, Vision, and Perception","3D, video, motion, and spatial understanding",baseline_taxonomy_sensitivity,oral; Outstanding Paper Honorable Mention; votes=67; evidence=medium,Decide supports / weakens / complicates / not_applicable for C05.,reviewed rows 0/7; support rows 0/4 with 0 weakening rows; paper notes 0/3; taxonomy boundary unresolved,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Check whether each subarea behaves differently from the aggregate underweight claim. ; No GitHub URL in metadata; record none/not_applicable unless the PDF shows a release.","Supports if the paper confirms multimodal/vision is a large but differently composed ICML area, or clarifies why neighboring-venue baselines make it look underweight.",Weakens if the paper belongs to a submode that makes the aggregate multimodal/vision comparison misleading or non-comparable.,Multimodal/vision aggregate must be broken into submodes before interpreting the neighboring-venue contrast.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use,reports/review_reading_briefs/60542-motion-attribution-for-video-generation.md ; reports/claim_validation_packets/c05-neighboring-venue-contrast.md ; reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md ; reports/area_briefing_cards/multimodal-vision-and-perception.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C05::60542,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
61,C05-65954,1102,sprint_02,2,65954,Multimodal Nested Learning for Decoupled and Coordinated Optimization,C05,Neighboring-venue contrast,supporting_hypothesis,not_ready,directional_unreviewed,"Multimodal, Vision, and Perception",Multimodal representation and cross-modal alignment,baseline_taxonomy_sensitivity,oral; votes=0; evidence=low,Decide supports / weakens / complicates / not_applicable for C05.,reviewed rows 0/7; support rows 0/4 with 0 weakening rows; paper notes 0/3; taxonomy boundary unresolved,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Check whether each subarea behaves differently from the aggregate underweight claim. ; No GitHub URL in metadata; record none/not_applicable unless the PDF shows a release.","Supports if the paper confirms multimodal/vision is a large but differently composed ICML area, or clarifies why neighboring-venue baselines make it look underweight.",Weakens if the paper belongs to a submode that makes the aggregate multimodal/vision comparison misleading or non-comparable.,Multimodal/vision aggregate must be broken into submodes before interpreting the neighboring-venue contrast.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use,reports/review_reading_briefs/65954-multimodal-nested-learning-for-decoupled-and-coordinated-optimization.md ; reports/claim_validation_packets/c05-neighboring-venue-contrast.md ; reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md ; reports/area_briefing_cards/multimodal-vision-and-perception.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C05::65954,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
62,C05-65729,1103,sprint_02,3,65729,ExSkill: Continual Learning from Experience and Skills in Multimodal Agents,C05,Neighboring-venue contrast,supporting_hypothesis,not_ready,directional_unreviewed,"Multimodal, Vision, and Perception",Multimodal representation and cross-modal alignment,baseline_taxonomy_sensitivity,votes=147; github_stars=234; evidence=medium,Decide supports / weakens / complicates / not_applicable for C05.,reviewed rows 0/7; support rows 0/4 with 0 weakening rows; paper notes 0/3; taxonomy boundary unresolved,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub/project link and record code/data/checkpoint/runnable status.","Supports if the paper confirms multimodal/vision is a large but differently composed ICML area, or clarifies why neighboring-venue baselines make it look underweight.",Weakens if the paper belongs to a submode that makes the aggregate multimodal/vision comparison misleading or non-comparable.,Multimodal/vision aggregate must be broken into submodes before interpreting the neighboring-venue contrast.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65729-exskill-continual-learning-from-experience-and-skills-in-multimodal-ag.md ; reports/claim_validation_packets/c05-neighboring-venue-contrast.md ; reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md ; reports/area_briefing_cards/multimodal-vision-and-perception.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C05::65729,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
63,C05-63195,1104,sprint_02,4,63195,BabyVision: Visual Reasoning Beyond Language,C05,Neighboring-venue contrast,supporting_hypothesis,not_ready,directional_unreviewed,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,baseline_taxonomy_sensitivity,votes=134; github_stars=227; evidence=medium,Decide supports / weakens / complicates / not_applicable for C05.,reviewed rows 0/7; support rows 0/4 with 0 weakening rows; paper notes 0/3; taxonomy boundary unresolved,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub/project link and record code/data/checkpoint/runnable status.","Supports if the paper confirms multimodal/vision is a large but differently composed ICML area, or clarifies why neighboring-venue baselines make it look underweight.",Weakens if the paper belongs to a submode that makes the aggregate multimodal/vision comparison misleading or non-comparable.,Multimodal/vision aggregate must be broken into submodes before interpreting the neighboring-venue contrast.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/63195-babyvision-visual-reasoning-beyond-language.md ; reports/claim_validation_packets/c05-neighboring-venue-contrast.md ; reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md ; reports/area_briefing_cards/multimodal-vision-and-perception.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C05::63195,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
64,C05-63623,1105,sprint_02,5,63623,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,C05,Neighboring-venue contrast,supporting_hypothesis,not_ready,directional_unreviewed,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,baseline_taxonomy_sensitivity,votes=150; github_stars=206; evidence=medium,Decide supports / weakens / complicates / not_applicable for C05.,reviewed rows 0/7; support rows 0/4 with 0 weakening rows; paper notes 0/3; taxonomy boundary unresolved,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub/project link and record code/data/checkpoint/runnable status.","Supports if the paper confirms multimodal/vision is a large but differently composed ICML area, or clarifies why neighboring-venue baselines make it look underweight.",Weakens if the paper belongs to a submode that makes the aggregate multimodal/vision comparison misleading or non-comparable.,Multimodal/vision aggregate must be broken into submodes before interpreting the neighboring-venue contrast.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/63623-causal-jepa-learning-world-models-through-object-level-latent-interven.md ; reports/claim_validation_packets/c05-neighboring-venue-contrast.md ; reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md ; reports/area_briefing_cards/multimodal-vision-and-perception.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C05::63623,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
65,C05-65709,1106,sprint_02,6,65709,A Very Big Video Reasoning Suite,C05,Neighboring-venue contrast,supporting_hypothesis,not_ready,directional_unreviewed,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,baseline_taxonomy_sensitivity,votes=159; github_stars=25; evidence=medium,Decide supports / weakens / complicates / not_applicable for C05.,reviewed rows 0/7; support rows 0/4 with 0 weakening rows; paper notes 0/3; taxonomy boundary unresolved,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub/project link and record code/data/checkpoint/runnable status.","Supports if the paper confirms multimodal/vision is a large but differently composed ICML area, or clarifies why neighboring-venue baselines make it look underweight.",Weakens if the paper belongs to a submode that makes the aggregate multimodal/vision comparison misleading or non-comparable.,Multimodal/vision aggregate must be broken into submodes before interpreting the neighboring-venue contrast.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65709-a-very-big-video-reasoning-suite.md ; reports/claim_validation_packets/c05-neighboring-venue-contrast.md ; reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md ; reports/area_briefing_cards/multimodal-vision-and-perception.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C05::65709,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
66,C05-62726,1107,sprint_02,7,62726,Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning,C05,Neighboring-venue contrast,supporting_hypothesis,not_ready,directional_unreviewed,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,baseline_taxonomy_sensitivity,oral; votes=21; evidence=medium,Decide supports / weakens / complicates / not_applicable for C05.,reviewed rows 0/7; support rows 0/4 with 0 weakening rows; paper notes 0/3; taxonomy boundary unresolved,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Check whether each subarea behaves differently from the aggregate underweight claim. ; No GitHub URL in metadata; record none/not_applicable unless the PDF shows a release.","Supports if the paper confirms multimodal/vision is a large but differently composed ICML area, or clarifies why neighboring-venue baselines make it look underweight.",Weakens if the paper belongs to a submode that makes the aggregate multimodal/vision comparison misleading or non-comparable.,Multimodal/vision aggregate must be broken into submodes before interpreting the neighboring-venue contrast.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use,reports/review_reading_briefs/62726-bad-seeing-or-bad-thinking-rewarding-perception-for-multimodal-reasoni.md ; reports/claim_validation_packets/c05-neighboring-venue-contrast.md ; reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md ; reports/area_briefing_cards/multimodal-vision-and-perception.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C05::62726,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
67,C04-61757,1108,sprint_02,8,61757,World Guidance: World Modeling in Condition Space for Action Generation,C04,Public attention mismatch,supporting_hypothesis,not_ready,directional_unreviewed,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,public_attention_calibration,votes=108; github_stars=147; evidence=low,Decide supports / weakens / complicates / not_applicable for C04.,reviewed rows 0/6; support rows 0/4 with 0 weakening rows; paper notes 0/3,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Classify the source of public attention: benchmark, demo, artifact, model release, or hype. ; Open GitHub/project link and record code/data/checkpoint/runnable status.","Supports if high public attention tracks robotics/world-model/VLA utility, demos, benchmarks, or reusable embodied-model work despite low area share.",Weakens if attention is driven mainly by title/project-page effects and not by substantive robotics/world-model contribution.,"High-attention robotics papers must be labeled as benchmark, demo, reusable model, or core algorithmic contribution.",contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/61757-world-guidance-world-modeling-in-condition-space-for-action-generation.md ; reports/claim_validation_packets/c04-public-attention-mismatch.md ; reports/claim_evidence_dossiers/c04-public-attention-mismatch.md ; reports/area_briefing_cards/robotics-embodiment-and-world-models.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C04::61757,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
68,C04-64904,1109,sprint_02,9,64904,Temporal Straightening for Latent Planning,C04,Public attention mismatch,supporting_hypothesis,not_ready,directional_unreviewed,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,public_attention_calibration,votes=202; github_stars=92; evidence=very_low,Decide supports / weakens / complicates / not_applicable for C04.,reviewed rows 0/6; support rows 0/4 with 0 weakening rows; paper notes 0/3,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Classify the source of public attention: benchmark, demo, artifact, model release, or hype. ; Open GitHub/project link and record code/data/checkpoint/runnable status.","Supports if high public attention tracks robotics/world-model/VLA utility, demos, benchmarks, or reusable embodied-model work despite low area share.",Weakens if attention is driven mainly by title/project-page effects and not by substantive robotics/world-model contribution.,"High-attention robotics papers must be labeled as benchmark, demo, reusable model, or core algorithmic contribution.",contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/64904-temporal-straightening-for-latent-planning.md ; reports/claim_validation_packets/c04-public-attention-mismatch.md ; reports/claim_evidence_dossiers/c04-public-attention-mismatch.md ; reports/area_briefing_cards/robotics-embodiment-and-world-models.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C04::64904,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
69,C05-63330,1110,sprint_02,10,63330,Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust?,C05,Neighboring-venue contrast,supporting_hypothesis,not_ready,directional_unreviewed,"Multimodal, Vision, and Perception","Vision robustness, detection, and adversarial perception",baseline_taxonomy_sensitivity,oral; votes=2; taxonomy_review; evidence=medium,Decide supports / weakens / complicates / not_applicable for C05.,reviewed rows 0/7; support rows 0/4 with 0 weakening rows; paper notes 0/3; taxonomy boundary unresolved,"Break the multimodal/vision contribution into submode: video, 3D/spatial, multimodal reasoning, robustness, or general vision-language. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Check whether each subarea behaves differently from the aggregate underweight claim. ; No GitHub URL in metadata; record none/not_applicable unless the PDF shows a release.","Supports if the paper confirms multimodal/vision is a large but differently composed ICML area, or clarifies why neighboring-venue baselines make it look underweight.",Weakens if the paper belongs to a submode that makes the aggregate multimodal/vision comparison misleading or non-comparable.,Multimodal/vision aggregate must be broken into submodes before interpreting the neighboring-venue contrast.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use,reports/review_reading_briefs/63330-mind-your-margin-and-boundary-are-your-distilled-datasets-truly-robust.md ; reports/claim_validation_packets/c05-neighboring-venue-contrast.md ; reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md ; reports/area_briefing_cards/multimodal-vision-and-perception.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C05::63330,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
70,C04-65457,1111,sprint_02,11,65457,LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries,C04,Public attention mismatch,supporting_hypothesis,not_ready,directional_unreviewed,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,public_attention_calibration,votes=189; github_stars=69; evidence=medium,Decide supports / weakens / complicates / not_applicable for C04.,reviewed rows 0/6; support rows 0/4 with 0 weakening rows; paper notes 0/3,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Classify the source of public attention: benchmark, demo, artifact, model release, or hype. ; Open GitHub/project link and record code/data/checkpoint/runnable status.","Supports if high public attention tracks robotics/world-model/VLA utility, demos, benchmarks, or reusable embodied-model work despite low area share.",Weakens if attention is driven mainly by title/project-page effects and not by substantive robotics/world-model contribution.,"High-attention robotics papers must be labeled as benchmark, demo, reusable model, or core algorithmic contribution.",contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65457-langforce-bayesian-decomposition-of-vision-language-action-models-via-.md ; reports/claim_validation_packets/c04-public-attention-mismatch.md ; reports/claim_evidence_dossiers/c04-public-attention-mismatch.md ; reports/area_briefing_cards/robotics-embodiment-and-world-models.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C04::65457,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
71,C04-62813,1112,sprint_02,12,62813,Vision-Language-Action Pretraining from Large-Scale Human Videos,C04,Public attention mismatch,supporting_hypothesis,not_ready,directional_unreviewed,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,public_attention_calibration,votes=144; github_stars=52; evidence=medium,Decide supports / weakens / complicates / not_applicable for C04.,reviewed rows 0/6; support rows 0/4 with 0 weakening rows; paper notes 0/3,"Label whether this robotics/world-model paper is mainly benchmark, demo, reusable model, or core algorithmic contribution. ; Check baselines, datasets, metrics, ablations, negative cases, and whether artifact links support the claim. ; Classify the source of public attention: benchmark, demo, artifact, model release, or hype. ; Open GitHub/project link and record code/data/checkpoint/runnable status.","Supports if high public attention tracks robotics/world-model/VLA utility, demos, benchmarks, or reusable embodied-model work despite low area share.",Weakens if attention is driven mainly by title/project-page effects and not by substantive robotics/world-model contribution.,"High-attention robotics papers must be labeled as benchmark, demo, reusable model, or core algorithmic contribution.",contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/62813-vision-language-action-pretraining-from-large-scale-human-videos.md ; reports/claim_validation_packets/c04-public-attention-mismatch.md ; reports/claim_evidence_dossiers/c04-public-attention-mismatch.md ; reports/area_briefing_cards/robotics-embodiment-and-world-models.md,data/manual/icml2026_review_sprint_02_paper_notes.csv ; data/manual/claim_review_overrides.csv::C04::62813,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
